ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
TVA,seasonal_naive+cqr,operator,366,-3.6125539906455852,-4.762606395410735,-2.8958633276812837,7.918893786311547,2.3963293641880812e-15,""
CISO,ridge+cqr,operator,366,0.27483739772311666,0.19364296489892305,0.3489568820845804,-5.912379555772821,3.3720040642019024e-9,operator series has a growing midday bias (data_profile 5.1)
ERCO,ridge+cqr,operator,366,-1.2525082724601981,-1.5869188954077924,-0.9503977076000308,7.169320056365722,7.53711639550304e-13,""
FPL,ridge+cqr,operator,358,-0.7674741183379963,-0.9915025794482772,-0.6062655361888118,8.578548675483233,9.607765843979346e-18,""
ISNE,ridge+cqr,operator,366,-1.8473915845860582,-2.063945028124336,-1.6255782369550786,15.012502600689007,6.080938184499668e-51,""
MISO,ridge+cqr,operator,366,-0.3423792050716774,-0.5299700269654166,-0.18962057084909065,3.9524883506583093,0.00007734269551236365,""
NYIS,ridge+cqr,operator,366,-1.026656474989191,-1.283195924140761,-0.8079829067401559,8.237569393636454,1.7574439146379723e-16,""
PJM,ridge+cqr,operator,364,-0.46890032544047044,-0.6560233946784896,-0.3429082583684835,5.900340658017114,3.627518047207347e-9,""
SOCO,ridge+cqr,operator,366,-2.667773494192326,-3.343748623210953,-2.116716286193446,8.3832238567906,5.149740329869751e-17,""
SWPP,ridge+cqr,operator,366,-0.9907116089856491,-1.258830653824938,-0.7568493669312424,7.7245483788607165,1.122506033238728e-14,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,ridge+cqr,operator,366,-1.9765764893953524,-2.7030085796473435,-1.523825974205068,7.009946182577843,2.3840981176830386e-12,""
CISO,lgbm_global+cqr,operator,366,0.4332261068438279,0.3780463629117046,0.4872292599342207,-11.839556582981054,2.4373818211210215e-32,operator series has a growing midday bias (data_profile 5.1)
ERCO,lgbm_global+cqr,operator,366,-0.8407805432971487,-1.175845900586856,-0.5530056838459091,4.4845382238894596,7.307200689701571e-6,""
FPL,lgbm_global+cqr,operator,358,-0.4875367589637698,-0.6337050475697182,-0.37026347261751263,7.339022931377532,2.151587502511767e-13,""
ISNE,lgbm_global+cqr,operator,366,-1.3493355942334206,-1.5432579593497213,-1.1756154256785734,13.331936320792208,1.5092876668698064e-40,""
