ba_code,model,hours,coverage_80,width_80_pct,pinball_80,coverage_95,width_95_pct,pinball_95
FPL,seasonal_naive,8547,78.83467883467884,27.326418002401102,310.5841101535227,96.32619632619632,46.316811719673694,106.00220140725732
FPL,seasonal_naive+cqr,8547,79.7004797004797,28.240051928021284,312.81685917138384,94.11489411489411,40.987396864456784,105.63964287837004
ISNE,lgbm_global,8783,68.45041557554366,14.40881828733804,185.52085776597585,83.72993282477513,21.66661814270933,80.16685339850761
ISNE,lgbm_global+cqr,8783,78.56085619947626,18.15240915714943,180.05605582079173,93.85175908004099,30.863467841075547,67.24486262666295
ISNE,ridge,8783,77.27427985881818,19.971519270769303,199.47677397234384,93.06615051804623,31.4810274273921,71.06351921215389
ISNE,ridge+cqr,8783,78.79995445747467,21.07307717121099,199.42891306634408,94.13639986337242,33.66836832776678,70.98264091774251
ISNE,seasonal_naive,8783,78.34452920414437,32.392757562183334,327.359272374095,93.86314471137425,52.70683502534426,121.68927152495571
ISNE,seasonal_naive+cqr,8783,77.92326084481384,34.07803458026458,328.0693737634194,92.8042809973813,53.66815209982969,120.40862719431841
MISO,lgbm_global,8784,68.76138433515483,6.787062885156777,548.7463981357408,88.091985428051,12.236632244211393,247.77622047991963
MISO,lgbm_global+cqr,8784,79.36020036429872,9.099166227788062,546.5285531568534,93.30601092896175,17.405368647498296,230.85347668941665
MISO,ridge,8784,77.94854280510019,12.26141011993006,720.8251046227681,93.85245901639344,20.16685494154904,267.4835027441445
MISO,ridge+cqr,8784,79.90664845173042,13.149786593194676,729.6285107354915,94.37613843351548,22.029396694161797,278.97016818834896
MISO,seasonal_naive,8784,79.40573770491804,21.182718863115387,1279.3119171730189,94.52413479052824,38.47090908837887,459.2778841067054
MISO,seasonal_naive+cqr,8784,78.64298724954463,22.744572908999654,1320.328852646263,92.99863387978142,38.491933511591746,497.16110605857136
NYIS,lgbm_global,8758,65.68851335921443,9.45066159653446,176.31234659928003,84.10596026490066,15.283404425433863,74.29178075718099
NYIS,lgbm_global+cqr,8758,78.7166019639187,12.640675737310566,169.31425658180126,94.06257136332496,22.16756592960811,62.88462140097179
NYIS,ridge,8758,76.20461292532542,14.988691010806138,215.91812067285875,92.94359442795158,24.317604613443343,79.11307735600396
NYIS,ridge+cqr,8758,79.26467229961179,16.446616639769836,214.14102845240382,93.9483900433889,27.07762015238488,78.41763115850746
NYIS,seasonal_naive,8758,75.46243434574103,24.438072348193224,367.51938284871324,92.32701530029688,41.608801561769646,141.35644162409176
NYIS,seasonal_naive+cqr,8758,76.72984699703129,26.77000147400116,369.8724565957108,91.72185430463576,43.51262856361264,136.50736842108495
