ba_code,model,hours,mae,rmse,mape,bias_pct,skill_vs_operator,skill_vs_operator_debiased
NYIS,lgbm_global,8758,714.0691597034196,1022.9567568727813,4.027670591622963,0.7019324156432837,-0.5661278053343428,-1.3477460612140693
NYIS,lgbm_global+cqr,8758,714.0691597034196,1022.9567568727813,4.027670591622963,0.7019324156432837,-0.5661278053343428,-1.3477460612140693
NYIS,operator,8758,455.94564969171046,560.2435726528147,2.62924737353507,-2.192814639481449,0.0,-0.49907692923749836
NYIS,operator_debiased,8758,304.15093501814215,415.58474838058584,1.7446358252012633,0.00451987991761287,0.33292282704354115,0.0
NYIS,ridge,8758,924.0452031908585,1279.7047730463491,5.281178881058493,0.5876938708793146,-1.026656474989191,-2.03811396514609
NYIS,ridge+cqr,8758,924.0452031908585,1279.7047730463491,5.281178881058493,0.5876938708793146,-1.026656474989191,-2.03811396514609
NYIS,seasonal_naive,8758,1482.682233386618,2106.1793924391673,8.326546964038856,0.4540185697117684,-2.2518837155023625,-3.8748238544727087
NYIS,seasonal_naive+cqr,8758,1482.682233386618,2106.1793924391673,8.326546964038856,0.4540185697117684,-2.2518837155023625,-3.8748238544727087
PJM,lgbm_global,8734,3214.8506721419376,4900.0251370607975,3.39022756430526,0.7678648623470183,0.025445731480681077,-0.6922136438202029
PJM,lgbm_global+cqr,8734,3214.8506721419376,4900.0251370607975,3.39022756430526,0.7678648623470183,0.025445731480681077,-0.6922136438202029
PJM,operator,8734,3298.790817494848,4197.789844985745,3.585395158433869,-1.485269924423752,0.0,-0.7363975496113253
PJM,operator_debiased,8734,1899.7900672189087,2537.6797633838064,2.0568715231330446,-0.0011514912139665304,0.42409501774300495,0.0
PJM,ridge,8734,4845.594905378217,6600.56306746864,5.121084251230315,0.2288416806086598,-0.4689003254404702,-1.5505949257181109
PJM,ridge+cqr,8734,4845.594905378217,6600.56306746864,5.121084251230315,0.2288416806086598,-0.4689003254404702,-1.5505949257181109
PJM,seasonal_naive,8734,8118.638481795283,11016.180580803712,8.55517524019888,0.47038269328488563,-1.4610952712547869,-3.273439798366832
PJM,seasonal_naive+cqr,8734,8118.638481795283,11016.180580803712,8.55517524019888,0.47038269328488563,-1.4610952712547869,-3.273439798366832
SOCO,lgbm_global,8782,1281.4657212315237,1987.762743223898,4.666094467407118,1.3016122168328863,-1.6529748967531432,-4.207011958285587
SOCO,lgbm_global+cqr,8782,1281.4657212315237,1987.762743223898,4.666094467407118,1.3016122168328863,-1.6529748967531432,-4.207011958285587
SOCO,operator,8782,483.02971988157594,646.9977996088564,1.9140693496230539,-1.6002702535028064,0.0,-0.9627068332452806
SOCO,operator_debiased,8782,246.10385601139416,407.97337653693256,0.9482382516690483,-0.006610439750891857,0.4904995575184664,0.0
SOCO,ridge,8782,1771.6436034887886,2504.790786519043,6.470946826914018,0.8724617160670819,-2.6677734941923266,-6.1987640998472
SOCO,ridge+cqr,8782,1771.6436034887886,2504.790786519043,6.470946826914018,0.8724617160670819,-2.6677734941923266,-6.1987640998472
SOCO,seasonal_naive,8782,2647.616032794352,3822.0834787952404,9.764493483784307,0.7597647525126031,-4.481269420530618,-9.758124946533842
SOCO,seasonal_naive+cqr,8782,2647.616032794352,3822.0834787952404,9.764493483784307,0.7597647525126031,-4.481269420530618,-9.758124946533842
SWPP,lgbm_global,8783,1323.5129806840162,2158.7225075389906,3.912265658449228,0.5789331868535476,-0.537955411116877,-0.5517610667436437
SWPP,lgbm_global+cqr,8783,1323.5129806840162,2158.7225075389906,3.912265658449228,0.5789331868535476,-0.537955411116877,-0.5517610667436437
SWPP,operator,8783,860.5665490151429,1294.9455448972044,2.560737573408686,-0.006465014266347423,0.0,-0.00897662931381138
SWPP,operator_debiased,8783,852.9102895082914,1280.187489984888,2.577775535595179,-0.008108192669205693,0.008896766340283024,0.0
SWPP,ridge,8783,1713.1398194291626,2388.0438540119067,5.082272472434804,0.28160459170727636,-0.9907116089856491,-1.0085814891702145
SWPP,ridge+cqr,8783,1713.1398194291626,2388.0438540119067,5.082272472434804,0.28160459170727636,-0.9907116089856491,-1.0085814891702145
SWPP,seasonal_naive,8783,2726.1439143800526,3845.23256784995,8.099159959644977,0.46983579187658675,-2.167847875913757,-2.19628447201838
SWPP,seasonal_naive+cqr,8783,2726.1439143800526,3845.23256784995,8.099159959644977,0.46983579187658675,-2.167847875913757,-2.19628447201838
TVA,lgbm_global,8783,927.6523907319362,1553.0634145032934,4.765114429598999,1.3932884977502336,-1.0394905380224548,-1.0059618486879818
TVA,lgbm_global+cqr,8783,927.6523907319362,1553.0634145032934,4.765114429598999,1.3932884977502336,-1.0394905380224548,-1.0059618486879818
TVA,operator,8783,454.8451554138677,672.7219143963383,2.3764940826163734,0.9141420548611273,0.0,0.016439737625350004
TVA,operator_debiased,8783,462.4476738372048,665.6822965798882,2.4040609352507665,-0.04040182135635882,-0.016714519947826023,0.0
TVA,ridge,8783,1353.8813959202942,1988.867402086631,7.0309439134139,0.07088257114314671,-1.9765764893953532,-1.9276423528879083
TVA,ridge+cqr,8783,1353.8813959202942,1988.867402086631,7.0309439134139,0.07088257114314671,-1.9765764893953532,-1.9276423528879083
TVA,seasonal_naive,8783,2097.997836730047,3050.263126324605,10.999130998083386,0.941957720843121,-3.6125539906455852,-3.536724813256611
TVA,seasonal_naive+cqr,8783,2097.997836730047,3050.263126324605,10.999130998083386,0.941957720843121,-3.6125539906455852,-3.536724813256611
