ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
TVA,lgbm_global,operator_debiased,366,-0.7902784054297245,-1.266654733774426,-0.4893262635307798,3.894499220076366,0.00009840180846296486,""
CISO,nhits,operator_debiased,366,-0.6827367234596449,-0.8309399570011332,-0.5507486906730937,10.982418124600867,4.643256446673502e-28,""
ERCO,nhits,operator_debiased,366,-1.0131699910358738,-1.3122665854880118,-0.751416311156047,5.780427525783414,7.451103166518002e-9,""
FPL,nhits,operator_debiased,358,-1.626842779485096,-1.9054627705061613,-1.4306509755975358,15.841553098079665,1.607996993019852e-56,""
ISNE,nhits,operator_debiased,366,-2.5007797306041635,-2.798836891394201,-2.2435989322910377,18.346738077577736,3.5053510371876475e-75,""
MISO,nhits,operator_debiased,366,-0.7828304828666715,-1.0548284625471906,-0.5892489194807063,6.191111212291226,5.974153780676974e-10,""
NYIS,nhits,operator_debiased,366,-1.6607709376535529,-2.010047436745731,-1.3799179114672837,9.869843337277533,5.625239776418437e-23,""
PJM,nhits,operator_debiased,364,-0.8594102248244886,-1.1479565807958196,-0.653930588815001,6.420503027430561,1.358247691902746e-10,""
SOCO,nhits,operator_debiased,366,-4.73316273742931,-5.7524620522331045,-3.885826483806257,11.188204508168088,4.657696777041235e-29,""
SWPP,nhits,operator_debiased,366,-0.5015594255929046,-0.7505835600513773,-0.29634583736053927,4.302849155056245,0.00001686156536995899,""
TVA,nhits,operator_debiased,366,-1.299654425367207,-1.8085108472693148,-0.9681999909209794,6.121036278580982,9.296873226794694e-10,""
CISO,ridge,operator_debiased,366,-0.6651992162725466,-0.779041899467758,-0.559964209572856,10.15880027291916,3.027791428730254e-24,""
ERCO,ridge,operator_debiased,366,-1.2971495342579993,-1.5730929238724345,-1.0078820356982408,7.709828523381074,1.259869029232656e-14,""
FPL,ridge,operator_debiased,358,-1.551301411859452,-1.8822558193142085,-1.324070891565374,11.267529755801016,1.8982085155939717e-29,""
ISNE,ridge,operator_debiased,366,-2.5936701110554967,-2.8799040676532877,-2.322266737584351,17.052506807297164,3.3485868136841612e-65,""
MISO,ridge,operator_debiased,366,-1.3624288688047317,-1.6529639799967346,-1.1473836971335882,9.929464953413131,3.099139990225139e-23,""
NYIS,ridge,operator_debiased,366,-1.7928423736133845,-2.055937597757678,-1.5661728474784298,14.382146607135638,6.698425224314987e-47,""
PJM,ridge,operator_debiased,364,-1.5039499222588497,-1.77014635316955,-1.2876851790331167,10.847809597992311,2.0426170550707695e-27,""
SOCO,ridge,operator_debiased,366,-6.198146137504033,-7.593830768213393,-5.0157718305162735,10.319638429254947,5.743905226283321e-25,""
SWPP,ridge,operator_debiased,366,-0.9928902515933482,-1.2917924579134483,-0.6938726516651295,7.380412280009245,1.5780011707702987e-13,""
TVA,ridge,operator_debiased,366,-1.931996573295189,-2.599713932135256,-1.508059473340203,7.055045940199534,1.7254370807741521e-12,""
